,Año,Day,Tiempo,PRN,S4,Az,Elv
0,21,094,86394,2,0.11,339.1,21.3
1,21,094,86394,5,0.07,242.0,60.7
2,21,094,86394,6,0.25,14.2,12.0
3,21,094,86394,13,0.1,188.9,27.9
4,21,094,86394,14,0.11,145.6,35.3
5,21,094,86394,17,0.16,69.3,27.3
6,21,094,86394,19,0.1,44.7,28.5
7,21,094,86394,24,0.16,257.9,15.6
8,21,094,86394,28,0.06,144.1,43.6
9,21,094,86394,30,0.17,142.2,11.4
10,21,095,54,2,0.19,339.5,21.2
11,21,095,54,5,0.05,242.9,60.9
12,21,095,54,6,0.19,14.6,11.8
13,21,095,54,13,0.12,188.5,28.2
14,21,095,54,14,0.11,145.8,34.8
15,21,095,54,17,0.14,69.8,27.4
16,21,095,54,19,0.1,45.2,28.7
17,21,095,54,24,0.16,257.5,15.7
18,21,095,54,28,0.06,144.4,43.1
19,21,095,54,30,0.16,141.9,11.2
20,21,095,114,2,0.15,339.9,21.1
21,21,095,114,5,0.06,243.9,61.2
22,21,095,114,6,0.16,14.9,11.7
23,21,095,114,13,0.1,188.1,28.4
24,21,095,114,14,0.09,146.0,34.4
25,21,095,114,17,0.13,70.3,27.5
26,21,095,114,19,0.1,45.7,28.9
27,21,095,114,24,0.17,257.0,15.7
28,21,095,114,28,0.07,144.6,42.7
29,21,095,114,30,0.16,141.6,11.0
30,21,095,174,2,0.2,340.3,21.0
31,21,095,174,5,0.06,244.8,61.5
32,21,095,174,6,0.16,15.3,11.5
33,21,095,174,13,0.11,187.8,28.7
34,21,095,174,14,0.09,146.1,34.0
35,21,095,174,17,0.12,70.8,27.6
36,21,095,174,19,0.09,46.2,29.1
37,21,095,174,24,0.14,256.6,15.8
38,21,095,174,28,0.07,144.9,42.2
39,21,095,174,30,0.17,141.2,10.8
40,21,095,234,2,0.19,340.7,20.8
41,21,095,234,5,0.07,245.8,61.7
42,21,095,234,6,0.2,15.7,11.4
43,21,095,234,13,0.1,187.4,28.9
44,21,095,234,14,0.09,146.3,33.6
45,21,095,234,17,0.13,71.4,27.7
46,21,095,234,19,0.1,46.7,29.3
47,21,095,234,24,0.14,256.1,15.8
48,21,095,234,28,0.07,145.2,41.8
49,21,095,234,30,0.15,140.9,10.6
50,21,095,294,2,0.14,341.1,20.7
51,21,095,294,5,0.06,246.7,62.0
52,21,095,294,6,0.13,16.0,11.2
53,21,095,294,13,0.1,187.0,29.2
54,21,095,294,14,0.12,146.4,33.2
55,21,095,294,17,0.1,71.9,27.7
56,21,095,294,19,0.09,47.2,29.4
57,21,095,294,24,0.11,255.7,15.8
58,21,095,294,28,0.07,145.4,41.4
59,21,095,294,30,0.23,140.5,10.5
60,21,095,354,2,0.11,341.5,20.6
61,21,095,354,5,0.06,247.7,62.2
62,21,095,354,6,0.17,16.4,11.1
63,21,095,354,13,0.11,186.6,29.4
64,21,095,354,14,0.12,146.6,32.7
65,21,095,354,17,0.14,72.4,27.8
66,21,095,354,19,0.09,47.7,29.6
67,21,095,354,24,0.13,255.2,15.9
68,21,095,354,28,0.08,145.7,40.9
69,21,095,354,30,0.22,140.2,10.3
70,21,095,414,2,0.11,341.9,20.5
71,21,095,414,5,0.06,248.8,62.4
72,21,095,414,6,0.16,16.8,10.9
73,21,095,414,13,0.09,186.2,29.7
74,21,095,414,14,0.13,146.7,32.3
75,21,095,414,17,0.14,72.9,27.9
76,21,095,414,19,0.11,48.2,29.8
77,21,095,414,24,0.13,254.8,15.9
78,21,095,414,28,0.06,145.9,40.5
79,21,095,414,30,0.21,139.8,10.1
80,21,095,474,2,0.16,342.3,20.3
81,21,095,474,5,0.05,249.8,62.7
82,21,095,474,6,0.15,17.1,10.8
83,21,095,474,12,0.13,324.5,20.1
84,21,095,474,13,0.14,185.9,29.9
85,21,095,474,14,0.13,146.9,31.9
86,21,095,474,17,0.11,73.5,28.0
87,21,095,474,19,0.15,48.7,30.0
88,21,095,474,24,0.15,254.3,16.0
89,21,095,474,28,0.06,146.1,40.0
90,21,095,534,2,0.14,342.7,20.2
91,21,095,534,5,0.06,250.8,62.9
92,21,095,534,6,0.2,17.5,10.6
93,21,095,534,12,0.14,324.3,20.5
94,21,095,534,13,0.12,185.5,30.2
95,21,095,534,14,0.12,147.0,31.5
96,21,095,534,17,0.09,74.0,28.1
97,21,095,534,19,0.1,49.2,30.1
98,21,095,534,24,0.16,253.9,16.0
99,21,095,534,28,0.09,146.3,39.6
100,21,095,594,2,0.25,343.1,20.1
101,21,095,594,5,0.05,251.9,63.1
102,21,095,594,6,0.23,17.9,10.5
103,21,095,594,12,0.12,324.1,20.9
104,21,095,594,13,0.11,185.1,30.4
105,21,095,594,14,0.11,147.1,31.1
106,21,095,594,17,0.12,74.5,28.2
107,21,095,594,19,0.1,49.7,30.3
108,21,095,594,24,0.15,253.4,16.1
109,21,095,594,28,0.08,146.5,39.1
110,21,095,654,2,0.16,343.5,20.0
111,21,095,654,5,0.05,253.0,63.3
112,21,095,654,6,0.24,18.2,10.4
113,21,095,654,12,0.11,323.9,21.3
114,21,095,654,13,0.1,184.7,30.7
115,21,095,654,14,0.09,147.2,30.7
116,21,095,654,17,0.09,75.1,28.2
117,21,095,654,19,0.09,50.3,30.5
118,21,095,654,24,0.16,253.0,16.1
119,21,095,654,28,0.08,146.7,38.7
120,21,095,714,2,0.23,343.9,19.9
121,21,095,714,5,0.05,254.1,63.5
